OBJECTID,DISTRICT,WEB_URL,GIS_ID,NAME,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,4,http://mpdc.dc.gov/page/welcome-fourth-district,temp_4,Fourth District,{B6A1BEBA-FA73-40F4-A816-0BA965D8A27E},,,,,0,0
2,2,http://mpdc.dc.gov/page/welcome-second-district,temp_2,Second District,{2C6CDF68-E63D-4236-A53A-75F937FB559B},,,,,0,0
3,5,http://mpdc.dc.gov/page/welcome-fifth-district,temp_5,Fifth District,{E7095AB5-9B21-4BB9-AC55-08D64A1AF784},,,,,0,0
4,3,http://mpdc.dc.gov/page/welcome-third-district,temp_3,Third District,{97ABF229-6D93-4C85-9246-37512954E752},,,,,0,0
5,6,http://mpdc.dc.gov/page/welcome-sixth-district,temp_6,Sixth District,{396136AF-8766-4B88-8CAC-818C8A788418},,,,,0,0
6,1,http://mpdc.dc.gov/page/welcome-first-district,temp_1,First District,{872A6687-2434-4745-B09F-3BBFDA533631},,,,,0,0
7,7,http://mpdc.dc.gov/page/welcome-seventh-district,temp_7,Seventh District,{BD104C55-ACFC-4502-900A-2CC6D8CDD7C3},,,,,0,0
