OFFENSE,WARD,LATITUDE,LONGITUDE
THEFT F/AUTO,2,38.9055341442,-77.0660705532
BURGLARY,5,38.9340981535,-76.9753580062
MOTOR VEHICLE THEFT,8,38.8630418581,-76.9700911885
THEFT/OTHER,8,38.8561277862,-76.9725864468
THEFT F/AUTO,3,38.9398002378,-77.0625358005
THEFT/OTHER,6,38.8825199578,-76.9908868125
THEFT F/AUTO,4,38.9579892326,-77.0180305715
THEFT F/AUTO,5,38.9344717979,-76.9919756127
MOTOR VEHICLE THEFT,7,38.8997070753,-76.92869726
ROBBERY,2,38.9042379536,-77.0402985018
THEFT/OTHER,6,38.8809864129,-77.02576752
THEFT F/AUTO,2,38.9081947755,-77.0703646512
MOTOR VEHICLE THEFT,4,38.9892580424,-77.0462977449
THEFT/OTHER,2,38.8998169908,-77.0265141995
THEFT/OTHER,5,38.9092990513,-76.9856070194
THEFT F/AUTO,7,38.898259762,-76.9766588607
THEFT/OTHER,2,38.9032398655,-77.0250183526
ROBBERY,6,38.874036699,-77.0175535851
THEFT/OTHER,1,38.9232884522,-77.0417577967
THEFT F/AUTO,4,38.9513807239,-77.0255233581
THEFT/OTHER,6,38.8847301328,-76.9860290143
THEFT F/AUTO,4,38.939756053,-77.0426037021
THEFT F/AUTO,4,38.951336851,-77.0364154097
THEFT F/AUTO,4,38.9832785932,-77.0265659172
THEFT F/AUTO,1,38.9239586636,-77.0378109933
THEFT/OTHER,6,38.8845982893,-76.995303205
THEFT/OTHER,2,38.9091072507,-77.0229336565
THEFT/OTHER,2,38.8991297051,-77.0219165566
THEFT F/AUTO,2,38.9087333448,-77.0684602607
THEFT/OTHER,2,38.9077339589,-77.0635155904
MOTOR VEHICLE THEFT,8,38.8660884277,-76.9774891236
THEFT/OTHER,6,38.8855518535,-77.0058926746
THEFT/OTHER,2,38.9010110345,-77.045776453
THEFT/OTHER,2,38.9126048635,-77.0441525971
THEFT F/AUTO,8,38.8701086442,-76.9790092579
ROBBERY,8,38.861630441,-76.989459909
THEFT/OTHER,6,38.880275773,-76.9949765956
THEFT/OTHER,1,38.9362258502,-77.0192210334
THEFT F/AUTO,5,38.9187067412,-76.9625331153
THEFT F/AUTO,8,38.8629337111,-76.9908366674
THEFT/OTHER,2,38.8960181546,-77.0473467599
THEFT/OTHER,8,38.8602449874,-76.9935717532
THEFT/OTHER,4,38.9529043829,-77.0286345575
THEFT F/AUTO,4,38.9577954916,-77.0016979799
THEFT F/AUTO,6,38.8855411926,-77.0000581512
ROBBERY,5,38.9215847053,-76.9937555941
THEFT F/AUTO,1,38.9151999234,-77.023967263
THEFT F/AUTO,8,38.8772135816,-76.993759016
THEFT/OTHER,4,38.9515801925,-77.0118319853
ROBBERY,6,38.9041504292,-77.0099920661
THEFT F/AUTO,2,38.8990602502,-77.0199058143
THEFT/OTHER,4,38.9694518736,-77.027308864
THEFT/OTHER,3,38.9215117092,-77.0722843227
THEFT F/AUTO,2,38.9042855592,-77.0296233564
HOMICIDE,5,38.8995544004,-76.9723346999
MOTOR VEHICLE THEFT,7,38.8863965351,-76.9555158822
THEFT F/AUTO,5,38.9221565889,-76.9566003952
THEFT/OTHER,7,38.8732830404,-76.9345142968
ASSAULT W/DANGEROUS WEAPON,6,38.8867694885,-77.0013095657
ROBBERY,8,38.8419825924,-76.9879856504
THEFT/OTHER,1,38.9151995441,-77.0319524688
THEFT F/AUTO,1,38.914089074,-77.0249785732
THEFT/OTHER,8,38.8611776799,-76.9839660327
THEFT/OTHER,2,38.9035532587,-77.0219160712
THEFT F/AUTO,1,38.9160821338,-77.0247153314
