OFFENSE,WARD,LATITUDE,LONGITUDE
THEFT/OTHER,8,38.8292044165,-76.9995323037
MOTOR VEHICLE THEFT,8,38.8239832768,-77.0120593575
THEFT F/AUTO,1,38.9264150674,-77.0339452299
HOMICIDE,7,38.8945868657,-76.9292327496
THEFT F/AUTO,8,38.850665753,-76.9664608512
MOTOR VEHICLE THEFT,5,38.9144696197,-76.9885168587
ASSAULT W/DANGEROUS WEAPON,3,38.9358388469,-77.0830611003
THEFT/OTHER,7,38.8763692422,-76.966719636
THEFT F/AUTO,2,38.9033067516,-77.0523597929
THEFT F/AUTO,5,38.9223724398,-77.0105950807
THEFT/OTHER,5,38.9080909311,-76.9878916032
THEFT F/AUTO,6,38.8973314619,-76.9842700234
THEFT/OTHER,1,38.9329135586,-77.023787297
THEFT F/AUTO,5,38.9050678489,-76.9901172157
ROBBERY,1,38.9191823999,-77.0284576189
THEFT F/AUTO,1,38.9142893336,-77.0162798013
THEFT/OTHER,2,38.9080385449,-77.0319501832
THEFT F/AUTO,1,38.9174771162,-77.0457790657
MOTOR VEHICLE THEFT,7,38.9006862844,-76.9258708004
THEFT F/AUTO,2,38.8947928136,-77.0209062352
THEFT F/AUTO,4,38.9721762966,-77.011891835
THEFT/OTHER,6,38.9019175187,-76.9937542031
THEFT/OTHER,5,38.9534196399,-77.0014873284
THEFT F/AUTO,4,38.9793921045,-77.0287776931
THEFT/OTHER,2,38.9052570236,-77.0540226751
THEFT F/AUTO,6,38.8746382221,-77.009496431
BURGLARY,4,38.9817463926,-77.0265352228
THEFT F/AUTO,4,38.962354387,-77.0049668828
THEFT/OTHER,3,38.9462874955,-77.0896217359
BURGLARY,6,38.9025200206,-77.0169168373
MOTOR VEHICLE THEFT,6,38.8802849174,-77.0175542172
THEFT F/AUTO,7,38.8947760114,-76.9814867321
MOTOR VEHICLE THEFT,6,38.8832309303,-76.9949741689
THEFT F/AUTO,8,38.8521992028,-76.9762541158
ASSAULT W/DANGEROUS WEAPON,8,38.8419825924,-76.9879856504
THEFT/OTHER,1,38.9140902542,-77.0288496986
ASSAULT W/DANGEROUS WEAPON,4,38.963236057,-77.0278475189
ROBBERY,1,38.9298079189,-77.036468077
THEFT/OTHER,2,38.8991297051,-77.0219165566
SEX ABUSE,8,38.8721516923,-76.9719400194
THEFT F/AUTO,4,38.9424645977,-77.0233741835
ASSAULT W/DANGEROUS WEAPON,6,38.8867694885,-77.0013095657
BURGLARY,5,38.9083741066,-76.9844507926
THEFT F/AUTO,5,38.9131849045,-77.0175722139
THEFT/OTHER,6,38.9013258056,-76.9973063877
BURGLARY,4,38.9418773733,-77.0399161693
THEFT/OTHER,5,38.9222166046,-76.9931402028
BURGLARY,4,38.941868712,-77.0351906357
THEFT/OTHER,5,38.9222166046,-76.9931402028
THEFT F/AUTO,1,38.9274255811,-77.0340792587
MOTOR VEHICLE THEFT,4,38.9482652787,-77.0376183143
THEFT F/AUTO,5,38.943581415,-77.0069219516
THEFT/OTHER,3,38.930368319,-77.0554909503
MOTOR VEHICLE THEFT,7,38.8775855623,-76.9289989508
ROBBERY,2,38.9114984488,-77.0345547577
ASSAULT W/DANGEROUS WEAPON,5,38.9108864616,-76.9852872041
THEFT/OTHER,1,38.9287433544,-77.033639334
THEFT/OTHER,2,38.9051510928,-77.0639958956
ROBBERY,7,38.899150231,-76.9816673943
THEFT/OTHER,6,38.9060439932,-77.0058844882
THEFT/OTHER,8,38.8531334276,-76.9640406795
MOTOR VEHICLE THEFT,3,38.9686325036,-77.0741794436
THEFT F/AUTO,8,38.8280298728,-77.0005658093
THEFT F/AUTO,7,38.8954631188,-76.9829276015
THEFT F/AUTO,7,38.8947762312,-76.9829298408
THEFT F/AUTO,1,38.9159166696,-77.0219119142
THEFT F/AUTO,2,38.9020472622,-77.051415835
MOTOR VEHICLE THEFT,1,38.9213967674,-77.0447514593
THEFT F/AUTO,1,38.9331120015,-77.0189102876
ASSAULT W/DANGEROUS WEAPON,4,38.9443793978,-77.0129432612
BURGLARY,4,38.9492986263,-77.0166094249
ROBBERY,1,38.9318434576,-77.0297104643
THEFT F/AUTO,2,38.9030070526,-77.0627632853
THEFT/OTHER,1,38.9155733376,-77.0275590895
MOTOR VEHICLE THEFT,6,38.9002045591,-77.0013046493
THEFT/OTHER,2,38.9152230127,-77.0194532504
ROBBERY,8,38.8548774011,-76.9790220935
THEFT F/AUTO,4,38.9855815381,-77.0319833402
BURGLARY,5,38.9472883951,-76.9914423677
SEX ABUSE,7,38.8904705255,-76.93239334
THEFT/OTHER,2,38.9072169383,-77.063241423
THEFT F/AUTO,8,38.8653289405,-76.9796743819
THEFT F/AUTO,5,38.9261206889,-76.9807617393
MOTOR VEHICLE THEFT,3,38.9290229896,-77.076447583
MOTOR VEHICLE THEFT,7,38.9012552122,-76.9408920666
THEFT F/AUTO,7,38.8879423177,-76.9156981908
ROBBERY,6,38.9002048367,-77.0000388501
BURGLARY,2,38.905656153,-77.0715174791
ROBBERY,1,38.9232611572,-77.022392747
THEFT F/AUTO,7,38.8981075668,-76.9778204604
MOTOR VEHICLE THEFT,8,38.8316321208,-77.0058850357
THEFT/OTHER,6,38.8869253065,-76.9973274273
ASSAULT W/DANGEROUS WEAPON,5,38.9163884316,-76.9937520133
THEFT F/AUTO,7,38.8990579582,-76.9443683346
THEFT F/AUTO,4,38.9804175038,-77.0244521176
ASSAULT W/DANGEROUS WEAPON,1,38.9275813517,-77.0311118663
ASSAULT W/DANGEROUS WEAPON,7,38.9012552122,-76.9408920666
THEFT/OTHER,7,38.887593115,-76.9829334372
THEFT/OTHER,8,38.8756844819,-77.0005455587
THEFT/OTHER,2,38.9093648355,-77.0441466713
THEFT/OTHER,8,38.8713681459,-77.0073687453
ROBBERY,7,38.8848378094,-76.949555782
ROBBERY,7,38.8966558827,-76.9476475094
BURGLARY,2,38.9092425999,-77.0319517602
ROBBERY,7,38.8632713254,-76.9660769477
ASSAULT W/DANGEROUS WEAPON,7,38.868043011,-76.946888104
THEFT F/AUTO,5,38.905952087,-76.9762137393
ROBBERY,4,38.9383064395,-77.0190190505
THEFT/OTHER,6,38.9002074169,-77.0106188799
MOTOR VEHICLE THEFT,8,38.8395293249,-76.9900290768
MOTOR VEHICLE THEFT,3,38.9527019967,-77.0684738781
THEFT/OTHER,8,38.8468348748,-76.9707126259
THEFT F/AUTO,6,38.9025202637,-77.0182926605
MOTOR VEHICLE THEFT,7,38.8700911875,-76.9700026155
MOTOR VEHICLE THEFT,4,38.9616869914,-77.0101430904
MOTOR VEHICLE THEFT,8,38.8345885388,-76.9877337842
BURGLARY,1,38.917557372,-77.0345314026
ASSAULT W/DANGEROUS WEAPON,6,38.8756010347,-77.0398149061
THEFT/OTHER,2,38.9064383765,-77.0628521974
THEFT/OTHER,4,38.9574208854,-77.0232265627
THEFT F/AUTO,2,38.9060020792,-77.0611985306
THEFT F/AUTO,7,38.9008701974,-76.9459178177
THEFT/OTHER,2,38.9064383765,-77.0628521974
MOTOR VEHICLE THEFT,4,38.9655122688,-77.0075813311
THEFT/OTHER,7,38.8966668167,-76.9829286968
THEFT F/AUTO,4,38.9601638636,-77.0205345051
THEFT/OTHER,6,38.894186036,-76.9874543138
MOTOR VEHICLE THEFT,6,38.9060439932,-77.0058844882
THEFT/OTHER,1,38.9312713672,-77.0266068592
HOMICIDE,6,38.9001303138,-77.0160665259
ASSAULT W/DANGEROUS WEAPON,5,38.9074640123,-76.9832830628
MOTOR VEHICLE THEFT,8,38.8743343032,-77.0005367901
THEFT/OTHER,7,38.8689186523,-76.9594761766
BURGLARY,2,38.9086179637,-77.0639820577
THEFT/OTHER,6,38.8765259634,-77.009097938
MOTOR VEHICLE THEFT,1,38.9329048103,-77.020514083
THEFT/OTHER,8,38.8541724053,-76.9884242906
ROBBERY,1,38.9323706833,-77.0405943181
THEFT/OTHER,5,38.8999764193,-76.9824602061
ROBBERY,8,38.8352543979,-76.9888424206
THEFT F/AUTO,1,38.9230971244,-77.0270369485
THEFT/OTHER,8,38.8325609582,-77.0089972649
MOTOR VEHICLE THEFT,6,38.8740057735,-77.0129260026
THEFT/OTHER,6,38.9002033642,-76.9973048161
THEFT/OTHER,4,38.9429752765,-77.0242630183
ASSAULT W/DANGEROUS WEAPON,7,38.8835648545,-76.9228034138
THEFT/OTHER,3,38.9599119666,-77.085288276
MOTOR VEHICLE THEFT,3,38.9383541707,-77.0955264886
ROBBERY,4,38.9493287065,-77.0146437839
THEFT/OTHER,1,38.9306002081,-77.0318135912
THEFT F/AUTO,7,38.8943504599,-76.9409018967
MOTOR VEHICLE THEFT,5,38.9572716881,-76.9957980586
THEFT F/AUTO,1,38.9217051624,-77.043451684
THEFT F/AUTO,5,38.9118590279,-77.0102543031
MOTOR VEHICLE THEFT,8,38.8212525767,-77.0072278067
BURGLARY,6,38.8755580369,-77.0175563795
BURGLARY,2,38.9013368503,-77.0441814759
ASSAULT W/DANGEROUS WEAPON,7,38.8996620102,-76.9369603309
THEFT/OTHER,7,38.887593115,-76.9829334372
THEFT/OTHER,4,38.9776337051,-77.0264643313
THEFT/OTHER,7,38.8933494806,-76.9469648801
THEFT/OTHER,8,38.8755489769,-77.008216236
THEFT/OTHER,4,38.9844770368,-77.0266059526
MOTOR VEHICLE THEFT,2,38.9126087891,-77.0307875618
THEFT F/AUTO,2,38.9084886791,-77.0434382136
THEFT/OTHER,5,38.9103382258,-76.9853819774
THEFT F/AUTO,5,38.9037136883,-76.9795230188
ROBBERY,3,38.9348242806,-77.0580805327
ROBBERY,2,38.9099274291,-77.0436069637
THEFT F/AUTO,3,38.9515608227,-77.0810228019
THEFT/OTHER,1,38.9247379091,-77.037168602
ROBBERY,6,38.9046865426,-77.0133369203
THEFT/OTHER,2,38.9036984368,-77.06277646
THEFT F/AUTO,7,38.893807988,-76.924185302
THEFT F/AUTO,5,38.9134991924,-76.9856272724
ROBBERY,1,38.9303437881,-77.0379923349
THEFT F/AUTO,2,38.9111232347,-77.0224332114
THEFT/OTHER,2,38.9162259346,-77.0681648844
THEFT F/AUTO,5,38.9171372142,-76.9651340569
THEFT F/AUTO,7,38.8761582209,-76.965334482
THEFT F/AUTO,5,38.9285966968,-76.9582535107
THEFT/OTHER,4,38.9584808931,-77.0236479171
THEFT F/AUTO,3,38.9398002378,-77.0625358005
THEFT F/AUTO,5,38.9309382009,-76.9834213783
THEFT/OTHER,6,38.9002038516,-76.9955641693
MOTOR VEHICLE THEFT,1,38.914089074,-77.0249785732
THEFT F/AUTO,6,38.8841041777,-76.9892784606
ROBBERY,8,38.8529978798,-76.965687488
THEFT F/AUTO,2,38.9170066126,-77.0516119221
THEFT F/AUTO,8,38.8394517487,-76.9947826016
THEFT F/AUTO,3,38.9362926319,-77.0773629933
THEFT/OTHER,5,38.9015468006,-76.9799376272
THEFT/OTHER,4,38.9502869543,-77.0127870938
THEFT/OTHER,8,38.8458583733,-76.9968137202
THEFT/OTHER,2,38.9085743935,-77.023456121
THEFT/OTHER,5,38.91265961,-76.9937231684
THEFT F/AUTO,5,38.9144477907,-77.0035073561
THEFT/OTHER,2,38.9008448464,-77.0265055894
MOTOR VEHICLE THEFT,7,38.8983639933,-76.9183389106
BURGLARY,8,38.8430600337,-77.0001202583
THEFT F/AUTO,1,38.9309178712,-77.0250207981
THEFT F/AUTO,1,38.9338841221,-77.0214114537
THEFT/OTHER,3,38.9615466978,-77.073618699
THEFT F/AUTO,6,38.8981202837,-76.9949639264
THEFT/OTHER,2,38.9025921141,-77.0619448497
THEFT/OTHER,6,38.8819955257,-76.9926467095
THEFT/OTHER,7,38.8645299147,-76.9487186974
MOTOR VEHICLE THEFT,4,38.9369691497,-77.024398577
THEFT F/AUTO,2,38.9085742178,-77.0275618041
THEFT F/AUTO,6,38.9013234411,-77.0169144784
THEFT F/AUTO,4,38.9542711166,-77.0209993625
ROBBERY,5,38.9091046346,-77.0121617206
HOMICIDE,6,38.9019180356,-76.9984454967
THEFT/OTHER,2,38.9052651697,-77.0494606379
ROBBERY,8,38.8397158173,-76.9984503066
THEFT F/AUTO,6,38.9037310241,-77.0031749151
THEFT F/AUTO,8,38.8368603507,-77.0069028318
THEFT/OTHER,6,38.9013241815,-77.0028020946
THEFT F/AUTO,7,38.8914680209,-76.9807615165
THEFT/OTHER,7,38.8853511301,-76.9829357155
ASSAULT W/DANGEROUS WEAPON,8,38.8664096533,-76.9881578949
ROBBERY,1,38.9159010133,-77.0149414476
ROBBERY,4,38.961672282,-77.0308477548
THEFT F/AUTO,8,38.850064747,-77.0050448277
THEFT F/AUTO,2,38.903422496,-77.0619605582
THEFT/OTHER,1,38.9328240152,-77.0327323041
THEFT F/AUTO,1,38.9177624492,-77.0234458823
THEFT/OTHER,4,38.9392138366,-77.0248272764
THEFT F/AUTO,5,38.9212875273,-76.9771594074
ROBBERY,5,38.9239733427,-76.9789971049
THEFT/OTHER,2,38.9078354315,-77.0644320424
THEFT/OTHER,6,38.8930840809,-76.9989810065
THEFT F/AUTO,6,38.9037274594,-76.9989752054
MOTOR VEHICLE THEFT,1,38.9175562877,-77.0296206817
MOTOR VEHICLE THEFT,1,38.9296546396,-77.031355425
THEFT F/AUTO,7,38.8628958529,-76.9492767506
ASSAULT W/DANGEROUS WEAPON,4,38.957124352,-77.0116153097
ASSAULT W/DANGEROUS WEAPON,8,38.8524031478,-76.9823129126
THEFT/OTHER,4,38.940277387,-77.0251020575
MOTOR VEHICLE THEFT,6,38.9025202637,-77.0182926605
ASSAULT W/DANGEROUS WEAPON,8,38.8470025598,-76.9978908701
MOTOR VEHICLE THEFT,1,38.9295168861,-77.0327298633
MOTOR VEHICLE THEFT,5,38.942552863,-76.9827567948
THEFT/OTHER,3,38.91846071,-77.0700131624
BURGLARY,5,38.904756695,-76.9741682083
ROBBERY,6,38.8972039407,-77.0083879302
ROBBERY,1,38.9343320059,-77.0355073233
THEFT/OTHER,2,38.9114126078,-77.0245480266
THEFT/OTHER,8,38.8422392414,-77.0027686746
THEFT/OTHER,6,38.9013241815,-77.0028020946
BURGLARY,2,38.9107578028,-77.0319530155
THEFT/OTHER,5,38.920231138,-77.0142099916
THEFT/OTHER,1,38.93161622,-77.02360187
ROBBERY,5,38.9305851998,-76.9741760356
THEFT/OTHER,5,38.9189852167,-77.0027718847
THEFT F/AUTO,3,38.9330137754,-77.072465757
ASSAULT W/DANGEROUS WEAPON,7,38.8881317159,-76.9807645934
ROBBERY,5,38.9330317526,-76.9910372911
ASSAULT W/DANGEROUS WEAPON,7,38.8938631473,-76.9575063546
ROBBERY,1,38.932367918,-77.0427906271
THEFT F/AUTO,7,38.8933494806,-76.9469648801
ASSAULT W/DANGEROUS WEAPON,1,38.9181143708,-77.0332413398
MOTOR VEHICLE THEFT,5,38.9302172021,-76.9585072123
ROBBERY,7,38.8887848833,-76.9549446976
MOTOR VEHICLE THEFT,3,38.9593581038,-77.0700131843
ROBBERY,7,38.8744754585,-76.9728303927
ROBBERY,4,38.9567115175,-77.0328557631
THEFT F/AUTO,8,38.8482247596,-76.9696714326
MOTOR VEHICLE THEFT,3,38.9513576776,-77.0589102114
ROBBERY,4,38.9654225384,-77.0349014501
THEFT F/AUTO,2,38.9033067516,-77.0523597929
THEFT/OTHER,8,38.8593188837,-76.984620132
THEFT F/AUTO,3,38.9110673522,-77.085866784
THEFT/OTHER,7,38.9034820677,-76.9229428261
THEFT F/AUTO,8,38.8635345572,-76.9739720394
THEFT F/AUTO,5,38.926023694,-76.9904800038
THEFT F/AUTO,3,38.9103929722,-77.0868624995
THEFT/OTHER,8,38.829706728,-77.0076745946
MOTOR VEHICLE THEFT,6,38.8788485738,-77.0050197313
THEFT/OTHER,1,38.9185437629,-77.0449271341
HOMICIDE,7,38.8988271395,-76.9274632878
THEFT/OTHER,5,38.9171883705,-76.9800714834
BURGLARY,2,38.9099274291,-77.0436069637
MOTOR VEHICLE THEFT,6,38.907238228,-77.0074918952
THEFT F/AUTO,3,38.9478968592,-77.0683761674
THEFT/OTHER,5,38.9202324667,-77.0128482413
ROBBERY,1,38.9175550432,-77.0319511026
BURGLARY,8,38.8395147958,-77.006290959
MOTOR VEHICLE THEFT,4,38.957637775,-76.9921348759
THEFT F/AUTO,1,38.9275883548,-77.0260507644
THEFT/OTHER,5,38.9198458716,-76.9528994141
THEFT/OTHER,6,38.8871211718,-76.9870218285
MOTOR VEHICLE THEFT,4,38.9632650196,-77.0052308301
THEFT F/AUTO,5,38.9291504511,-76.960096837
THEFT/OTHER,5,38.9249689235,-76.9846734364
THEFT/OTHER,2,38.9056013366,-77.0628222912
THEFT F/AUTO,1,38.9148300665,-77.0229435682
THEFT/OTHER,5,38.9328075718,-76.9970384286
THEFT/OTHER,6,38.8947864823,-76.9989793684
THEFT F/AUTO,6,38.8920141436,-76.9932029314
THEFT F/AUTO,7,38.9036422597,-76.9256198676
ROBBERY,7,38.8931640884,-76.9506108049
HOMICIDE,8,38.8574916758,-76.9726458339
THEFT/OTHER,3,38.9302858242,-77.0811832718
ASSAULT W/DANGEROUS WEAPON,8,38.8694785022,-76.9802834352
ASSAULT W/DANGEROUS WEAPON,7,38.9025185896,-76.9418802891
ASSAULT W/DANGEROUS WEAPON,2,38.9079076361,-77.0296239384
THEFT F/AUTO,6,38.8981286334,-76.990248788
THEFT/OTHER,8,38.8332482867,-77.0110697227
THEFT/OTHER,1,38.9185437629,-77.0449271341
THEFT F/AUTO,3,38.9286430656,-77.0632567354
THEFT F/AUTO,6,38.8957876128,-76.9836459185
THEFT/OTHER,1,38.916996806,-77.0265135526
THEFT/OTHER,1,38.9303437881,-77.0379923349
THEFT/OTHER,2,38.9096515756,-77.0332543444
THEFT/OTHER,7,38.8897782316,-76.9413941594
THEFT F/AUTO,7,38.8983649793,-76.9378934229
THEFT/OTHER,4,38.938148387,-77.024583415
THEFT/OTHER,1,38.9185437629,-77.0449271341
THEFT F/AUTO,3,38.9599119666,-77.085288276
THEFT/OTHER,2,38.8973478904,-77.0265085554
MOTOR VEHICLE THEFT,7,38.9001851952,-76.9382713195
THEFT/OTHER,2,38.9093648355,-77.0441466713
THEFT/OTHER,7,38.8662693935,-76.9504905677
THEFT/OTHER,3,38.9492541582,-77.0664643124
THEFT F/AUTO,7,38.8933494806,-76.9469648801
ASSAULT W/DANGEROUS WEAPON,5,38.9017540027,-76.9878509458
ASSAULT W/DANGEROUS WEAPON,8,38.8316338907,-76.999893927
BURGLARY,2,38.9045147494,-77.031949066
THEFT F/AUTO,5,38.9017008145,-76.9768580995
THEFT/OTHER,5,38.9323665691,-76.9955767005
ROBBERY,7,38.8748873086,-76.9656012603
THEFT/OTHER,2,38.9136364547,-77.0701994853
MOTOR VEHICLE THEFT,4,38.9673419939,-77.0080265883
THEFT F/AUTO,5,38.9248036223,-76.9656190433
MOTOR VEHICLE THEFT,7,38.8892344991,-76.9772602224
BURGLARY,2,38.91009621,-77.0270369781
THEFT/OTHER,2,38.9091754663,-77.0345590512
THEFT F/AUTO,3,38.9318810146,-77.0862166283
THEFT F/AUTO,4,38.9682842686,-77.0224484352
ASSAULT W/DANGEROUS WEAPON,5,38.9222166046,-76.9931402028
THEFT F/AUTO,2,38.9056991277,-77.032093941
BURGLARY,7,38.9039688291,-76.9472062055
THEFT/OTHER,3,38.9492466458,-77.0802982386
MOTOR VEHICLE THEFT,7,38.8928915125,-76.9143538201
ASSAULT W/DANGEROUS WEAPON,7,38.8918250184,-76.9539795385
THEFT F/AUTO,3,38.9620804553,-77.0682425469
THEFT/OTHER,2,38.9031438349,-77.0396671484
THEFT/OTHER,2,38.9031438349,-77.0396671484
THEFT F/AUTO,4,38.9497392707,-77.0348150942
THEFT F/AUTO,7,38.8992501174,-76.9784090744
BURGLARY,2,38.905185411,-77.0619979449
THEFT F/AUTO,3,38.9615466978,-77.073618699
THEFT/OTHER,6,38.9002033642,-76.9973048161
BURGLARY,1,38.9253423251,-77.04131812
ROBBERY,4,38.9619795615,-77.0279498335
THEFT F/AUTO,4,38.9735403779,-77.0145924437
THEFT/OTHER,7,38.8924281227,-76.9600849858
THEFT F/AUTO,5,38.8994918941,-76.9751947333
THEFT/OTHER,4,38.9565875344,-77.0126313162
THEFT F/AUTO,8,38.8450891148,-77.0015508452
THEFT F/AUTO,3,38.9290116187,-77.0642056422
MOTOR VEHICLE THEFT,7,38.8999196635,-76.9521789174
THEFT/OTHER,2,38.9006904506,-77.0525690711
THEFT/OTHER,6,38.8825456773,-76.9902425041
ASSAULT W/DANGEROUS WEAPON,7,38.8995435581,-76.9836359502
ROBBERY,5,38.9196974243,-76.9705258
BURGLARY,2,38.9071750139,-77.0365299473
THEFT/OTHER,5,38.9189482642,-76.9711372662
THEFT/OTHER,5,38.9239749584,-77.0005704914
THEFT F/AUTO,2,38.896130303,-77.0288604185
HOMICIDE,6,38.9042098573,-77.012175643
THEFT F/AUTO,2,38.9081381756,-77.0416761758
THEFT/OTHER,2,38.9064475676,-77.0175554508
THEFT F/AUTO,5,38.9129697378,-77.0020353267
THEFT/OTHER,5,38.9094049494,-76.9975459006
THEFT F/AUTO,7,38.8916446159,-76.9529060902
THEFT F/AUTO,2,38.9033067516,-77.0523597929
THEFT/OTHER,6,38.8967205699,-76.9869079179
THEFT/OTHER,1,38.9303077114,-77.0234122941
THEFT/OTHER,6,38.8995495811,-77.0144073834
ROBBERY,8,38.8667038197,-76.9847448306
THEFT F/AUTO,4,38.9620058435,-77.0235506656
THEFT F/AUTO,2,38.9041653812,-77.0209061
THEFT/OTHER,7,38.8988010033,-76.975865442
MOTOR VEHICLE THEFT,7,38.8988271395,-76.9274632878
THEFT/OTHER,5,38.9222166046,-76.9931402028
MOTOR VEHICLE THEFT,3,38.9554964807,-77.0758699286
MOTOR VEHICLE THEFT,5,38.91265961,-76.9937231684
MOTOR VEHICLE THEFT,2,38.8973478904,-77.0265085554
MOTOR VEHICLE THEFT,5,38.9098515103,-76.9986005147
THEFT F/AUTO,4,38.9494561279,-77.0237088337
BURGLARY,3,38.9496787299,-77.0795706737
THEFT/OTHER,8,38.8216256757,-77.0110811748
ASSAULT W/DANGEROUS WEAPON,5,38.9072611589,-77.009306274
THEFT F/AUTO,5,38.9223657154,-76.9780043437
THEFT F/AUTO,8,38.8630418581,-76.9700911885
THEFT F/AUTO,2,38.9064431688,-77.0280850996
MOTOR VEHICLE THEFT,6,38.9031204801,-76.9995071482
THEFT F/AUTO,2,38.910384632,-77.0229424841
THEFT F/AUTO,8,38.8775257435,-76.997854457
ROBBERY,7,38.8866619113,-76.9492992627
ASSAULT W/DANGEROUS WEAPON,8,38.8333902827,-76.9922401259
THEFT/OTHER,4,38.940277387,-77.0251020575
THEFT/OTHER,6,38.903784393,-77.0112763237
THEFT/OTHER,5,38.9126023648,-77.0106031994
THEFT F/AUTO,2,38.9106593258,-77.0296200081
THEFT F/AUTO,7,38.8841381608,-76.9411401638
THEFT/OTHER,7,38.8689186523,-76.9594761766
THEFT F/AUTO,2,38.9076711799,-77.0586742094
THEFT F/AUTO,3,38.9334862861,-77.0697594142
THEFT/OTHER,8,38.8248078759,-77.0124073967
THEFT F/AUTO,5,38.9276601456,-76.9894450746
THEFT F/AUTO,6,38.8864101865,-76.9883114864
THEFT/OTHER,6,38.9078254892,-77.0035141787
THEFT/OTHER,4,38.9369691497,-77.024398577
ROBBERY,6,38.8990593835,-77.0161862917
MOTOR VEHICLE THEFT,6,38.9013241345,-77.018291201
MOTOR VEHICLE THEFT,2,38.9037423825,-77.0477654249
THEFT F/AUTO,6,38.8788478901,-77.0198921662
MOTOR VEHICLE THEFT,7,38.9024672607,-76.9494762907
MOTOR VEHICLE THEFT,1,38.93298246,-77.0220096576
THEFT/OTHER,6,38.9060439932,-77.0058844882
MOTOR VEHICLE THEFT,2,38.9165349464,-77.0416547923
THEFT/OTHER,1,38.9170000824,-77.0307861136
THEFT F/AUTO,5,38.915559861,-76.9729799763
MOTOR VEHICLE THEFT,4,38.978356682,-77.0326188844
THEFT/OTHER,6,38.889228507,-76.9908904142
THEFT F/AUTO,4,38.951337293,-77.0334275728
THEFT F/AUTO,3,38.9653587,-77.0771438074
THEFT/OTHER,8,38.84714414,-76.9797108882
THEFT F/AUTO,4,38.9551538951,-77.0315601195
THEFT F/AUTO,3,38.9293717925,-77.0838042465
THEFT/OTHER,2,38.9072438239,-77.0332584101
THEFT F/AUTO,2,38.9126048635,-77.0441525971
THEFT/OTHER,1,38.928171804,-77.0325902763
THEFT F/AUTO,4,38.9747138874,-77.026775527
THEFT/OTHER,7,38.8831988817,-76.9253213948
MOTOR VEHICLE THEFT,2,38.9169967973,-77.0332415107
THEFT F/AUTO,1,38.9344533544,-77.0209269759
THEFT/OTHER,1,38.9295168861,-77.0327298633
MOTOR VEHICLE THEFT,8,38.8320376834,-76.9928783337
THEFT/OTHER,2,38.909110157,-77.0270360278
THEFT F/AUTO,5,38.9037136883,-76.9795230188
MOTOR VEHICLE THEFT,7,38.8862078577,-76.9269789648
THEFT/OTHER,2,38.9049076407,-77.0259863348
MOTOR VEHICLE THEFT,6,38.9002022066,-76.993201229
ROBBERY,1,38.9358421632,-77.035190314
ASSAULT W/DANGEROUS WEAPON,7,38.8741198069,-76.972066947
MOTOR VEHICLE THEFT,7,38.9008701974,-76.9459178177
ROBBERY,8,38.8717915923,-76.9740898528
MOTOR VEHICLE THEFT,6,38.8935788975,-76.9932028976
THEFT/OTHER,1,38.9244003267,-77.0255752829
ASSAULT W/DANGEROUS WEAPON,1,38.9193122316,-77.0184825066
BURGLARY,2,38.914090563,-77.0454464286
THEFT/OTHER,1,38.9175550432,-77.0319511026
ASSAULT W/DANGEROUS WEAPON,7,38.8872190962,-76.9789945541
THEFT/OTHER,6,38.8832309303,-76.9949741689
SEX ABUSE,1,38.9193122316,-77.0184825066
THEFT F/AUTO,6,38.9019175187,-76.9937542031
THEFT F/AUTO,2,38.9060020792,-77.0611985306
MOTOR VEHICLE THEFT,5,38.9181055502,-77.0106643253
ROBBERY,7,38.8886726976,-76.9829326943
THEFT F/AUTO,2,38.9079040025,-77.0189313904
THEFT F/AUTO,6,38.881283114,-77.0137193306
ROBBERY,8,38.8248078759,-77.0124073967
MOTOR VEHICLE THEFT,7,38.9066615961,-76.9528191142
THEFT F/AUTO,8,38.8775257435,-76.997854457
THEFT F/AUTO,2,38.8991297051,-77.0219165566
ROBBERY,7,38.8854755628,-76.9544794517
MOTOR VEHICLE THEFT,1,38.916998906,-77.0275601016
ROBBERY,7,38.8758737198,-76.9674579251
THEFT/OTHER,1,38.9238698908,-77.0408755892
ASSAULT W/DANGEROUS WEAPON,4,38.9556819764,-77.0279547478
BURGLARY,1,38.9354035006,-77.022641887
THEFT F/AUTO,7,38.8966644353,-76.9814878559
MOTOR VEHICLE THEFT,3,38.9302671365,-77.0629929151
MOTOR VEHICLE THEFT,2,38.9144628474,-77.0416603851
ASSAULT W/DANGEROUS WEAPON,5,38.8989945496,-76.9769899359
ASSAULT W/DANGEROUS WEAPON,8,38.8524031478,-76.9823129126
BURGLARY,7,38.9021403061,-76.9212310198
SEX ABUSE,8,38.8710278592,-76.9822245207
THEFT F/AUTO,4,38.978847118,-77.0264419309
THEFT/OTHER,8,38.8531334276,-76.9640406795
THEFT/OTHER,4,38.9620060286,-77.0211697534
THEFT/OTHER,6,38.9001303138,-77.0160665259
MOTOR VEHICLE THEFT,3,38.9561010912,-77.0736541472
THEFT/OTHER,4,38.9437161988,-77.0172047281
THEFT F/AUTO,1,38.930634149,-77.0338114933
ROBBERY,5,38.9144556791,-77.0121534087
HOMICIDE,8,38.8576518527,-76.9967797818
THEFT F/AUTO,4,38.9786874017,-77.0328415449
THEFT/OTHER,1,38.9161409594,-77.0229427215
THEFT F/AUTO,5,38.932125299,-76.9778798864
